Rank,Candidate,Final_Score,TF_IDF_Score,Skill_Score,Skills_Found,Matched_Skills,Missing_Skills,Fit_Label
68,Candidate_91,6.59,6.53,6.67,2,excel,"java, r, bash, python, perl",Not Fit
69,Candidate_61,6.45,6.3,6.67,1,communication,"java, r, bash, python, excel",Not Fit
70,Candidate_50,6.41,6.24,6.67,2,communication,"java, r, bash, python, excel",Not Fit
71,Candidate_34,6.33,6.11,6.67,3,excel,"java, r, bash, python, perl",Not Fit
72,Candidate_7,6.26,5.98,6.67,2,excel,"java, r, bash, python, perl",Not Fit
73,Candidate_23,6.2,5.89,6.67,1,excel,"java, r, bash, python, perl",Not Fit
74,Candidate_59,5.85,5.3,6.67,1,r,"java, bash, python, excel, perl",Not Fit
75,Candidate_51,5.82,5.25,6.67,2,communication,"java, r, bash, python, excel",Not Fit
76,Candidate_15,5.69,5.04,6.67,1,excel,"java, r, bash, python, perl",Not Fit
77,Candidate_22,5.63,9.38,0.0,2,None,"java, r, bash, python, excel",Not Fit
78,Candidate_49,5.51,4.73,6.67,2,excel,"java, r, bash, python, perl",Not Fit
79,Candidate_75,5.47,9.11,0.0,1,None,"java, r, bash, python, excel",Not Fit
80,Candidate_74,5.38,8.96,0.0,2,None,"java, r, bash, python, excel",Not Fit
81,Candidate_92,5.38,8.96,0.0,1,None,"java, r, bash, python, excel",Not Fit
82,Candidate_35,5.31,4.4,6.67,2,communication,"java, r, bash, python, excel",Not Fit
83,Candidate_44,5.06,8.43,0.0,1,None,"java, r, bash, python, excel",Not Fit
84,Candidate_72,4.97,3.83,6.67,1,communication,"java, r, bash, python, excel",Not Fit
85,Candidate_5,4.96,8.27,0.0,1,None,"java, r, bash, python, excel",Not Fit
86,Candidate_98,4.9,8.17,0.0,1,None,"java, r, bash, python, excel",Not Fit
87,Candidate_62,4.87,8.12,0.0,0,None,"java, r, bash, python, excel",Not Fit
88,Candidate_37,4.77,3.5,6.67,2,communication,"java, r, bash, python, excel",Not Fit
89,Candidate_65,4.69,7.81,0.0,1,None,"java, r, bash, python, excel",Not Fit
90,Candidate_81,4.63,7.72,0.0,0,None,"java, r, bash, python, excel",Not Fit
91,Candidate_40,4.57,7.61,0.0,1,None,"java, r, bash, python, excel",Not Fit
92,Candidate_6,4.1,6.84,0.0,1,None,"java, r, bash, python, excel",Not Fit
93,Candidate_48,4.08,6.8,0.0,1,None,"java, r, bash, python, excel",Not Fit
94,Candidate_71,3.61,6.01,0.0,0,None,"java, r, bash, python, excel",Not Fit
95,Candidate_25,3.47,5.79,0.0,0,None,"java, r, bash, python, excel",Not Fit
96,Candidate_2,3.27,5.45,0.0,2,None,"java, r, bash, python, excel",Not Fit
97,Candidate_93,2.53,4.21,0.0,0,None,"java, r, bash, python, excel",Not Fit
98,Candidate_60,2.24,3.73,0.0,0,None,"java, r, bash, python, excel",Not Fit
99,Candidate_4,2.12,3.53,0.0,0,None,"java, r, bash, python, excel",Not Fit
100,Candidate_29,1.93,3.21,0.0,0,None,"java, r, bash, python, excel",Not Fit
